,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
665,66.5,6.04,-4.02,9.48,-3.21,-3.4400000000000004,-0.8099999999999996,3.534076965771968
666,66.6,6.04,-4.04,9.28,-2.94,-3.2399999999999993,-1.1,3.421637035104687
667,66.7,6.04,-4.02,8.99,-3.1,-2.95,-0.9199999999999995,3.0901294471267704
668,66.8,6.2,-3.7,8.68,-2.96,-2.4799999999999995,-0.7400000000000002,2.588049458569136
669,66.9,6.24,-3.7,8.43,-2.74,-2.1899999999999995,-0.96,2.391171261118701
670,67.0,6.24,-3.9,8.46,-3.07,-2.2200000000000006,-0.8300000000000001,2.37008438668331
671,67.1,6.720000000000001,-3.7600000000000002,8.24,-3.32,-1.5199999999999996,-0.4400000000000004,1.5824032355881983
672,67.2,6.8,-3.62,8.49,-3.11,-1.6900000000000004,-0.5100000000000002,1.7652761823578773
673,67.3,6.8,-3.6,8.82,-3.18,-2.0200000000000005,-0.41999999999999993,2.063201395889408
674,67.4,6.8,-3.6,8.62,-3.44,-1.8199999999999994,-0.16000000000000014,1.8270194306574843
675,67.5,6.8,-3.6,8.35,-3.64,-1.5499999999999998,0.040000000000000036,1.5505160431288671
676,67.6,7.040000000000001,-3.6,8.05,-3.79,-1.0099999999999998,0.18999999999999995,1.0277159140540735
677,67.7,7.2,-3.62,8.28,-4.03,-1.0799999999999992,0.41000000000000014,1.1552056094046628
678,67.8,7.2,-3.6,8.57,-4.2,-1.37,0.6000000000000001,1.4956269588369957
679,67.9,7.2,-3.6,8.62,-4.53,-1.419999999999999,0.9300000000000002,1.6974392478082971
680,68.0,7.08,-3.66,8.74,-4.84,-1.6600000000000001,1.1799999999999997,2.0366639388961545
681,68.1,7.2,-3.6,8.61,-4.53,-1.4099999999999993,0.9300000000000002,1.6890825912311092
682,68.2,7.2,-3.6,8.93,-4.43,-1.7299999999999995,0.8299999999999996,1.9188017094009473
683,68.3,7.2,-3.6,8.79,-4.73,-1.589999999999999,1.1300000000000003,1.9506409203131154
684,68.4,7.2,-3.6,9.04,-4.51,-1.839999999999999,0.9099999999999997,2.0527298896834907
685,68.5,7.2,-3.6,9.07,-4.18,-1.87,0.5799999999999996,1.9578815081613086
686,68.6,7.2,-3.6,9.4,-4.13,-2.2,0.5299999999999998,2.2629405648403584
687,68.7,7.2,-3.6,9.67,-4.33,-2.4699999999999998,0.73,2.5756164310704337
688,68.8,7.2,-3.6,9.42,-4.55,-2.2199999999999998,0.9499999999999997,2.4147256572952545
689,68.9,7.2,-3.6,9.42,-4.21,-2.2199999999999998,0.6099999999999999,2.302281477143922
690,69.0,7.279999999999999,-3.78,9.35,-3.89,-2.0700000000000003,0.11000000000000032,2.072920644887305
691,69.1,7.2,-3.6,9.55,-4.16,-2.3500000000000005,0.56,2.4158021442162854
692,69.2,7.2,-3.6,9.25,-4.01,-2.05,0.4099999999999997,2.0905980005730416
693,69.3,7.2,-3.6,9.25,-3.67,-2.05,0.06999999999999984,2.0511947737842937
694,69.4,7.2,-3.6,9.33,-4.0,-2.13,0.3999999999999999,2.1672332592501435
695,69.5,7.2,-3.6,9.52,-3.72,-2.3199999999999994,0.1200000000000001,2.323101375317056
696,69.6,7.2,-3.6,9.38,-4.03,-2.1800000000000006,0.43000000000000016,2.2220036003571195
697,69.7,7.2,-3.6,9.7,-3.94,-2.499999999999999,0.33999999999999986,2.5230140705116955
698,69.8,7.2,-3.6,9.83,-3.63,-2.63,0.029999999999999805,2.6301710970961563
699,69.9,7.2,-3.6,10.15,-3.54,-2.95,-0.06000000000000005,2.9506101064017254
700,70.0,7.3,-3.7399999999999998,9.8,-3.46,-2.500000000000001,-0.2799999999999998,2.5156311335328962
701,70.1,7.44,-3.38,9.7,-3.14,-2.259999999999999,-0.23999999999999977,2.2727076362788057
702,70.2,7.6,-3.28,9.98,-2.97,-2.380000000000001,-0.3099999999999996,2.4001041644062044
703,70.3,7.6,-3.3,10.17,-3.25,-2.5700000000000003,-0.04999999999999982,2.5704863353069984
704,70.4,7.6,-3.3,9.71,-3.51,-2.110000000000001,0.20999999999999996,2.1204244858046715
705,70.5,7.82,-3.54,10.01,-3.38,-2.1899999999999995,-0.16000000000000014,2.1958369702689673
