Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.9,13,explorer,10,47516.47,99.99,3.1,4.5,-522.8,0.2,0.2,0.3,2.4,1.5,-7.7,7
0.9,14,explorer,10,47519.55,100.0,19.8,19.9,-1892.0,0.3,-0.2,0.4,12.6,11.6,-293.3,4
0.9,15,explorer,10,47519.56,100.0,-13.3,9.8,-109.9,-0.3,0.0,0.3,-13.3,9.8,-109.1,15
0.9,16,explorer,10,47519.57,100.0,18.3,3.8,-1440.0,0.3,-0.0,0.3,12.6,11.6,-293.3,4
0.9,17,isocontour,6,47517.98,100.0,-15.5,18.3,-302.1,-0.0,-0.4,0.4,-13.2,9.8,-109.1,15
0.9,18,isocontour,6,47517.67,100.0,0.3,-16.1,-703.2,-0.3,0.2,0.4,2.4,1.5,-7.7,7
0.9,19,isocontour,6,47515.55,99.99,-14.3,-10.9,-179.8,0.3,-0.2,0.4,-14.3,-10.9,-159.8,19
0.9,20,isocontour,6,47516.23,99.99,8.7,-5.2,-843.8,-0.4,0.2,0.4,2.4,1.5,-7.7,7
0.9,21,isocontour,6,47515.83,99.99,6.3,-6.7,-738.1,-0.7,0.5,0.9,2.4,1.5,-7.7,7
0.9,Target,,,,,-19.57,1.43,-0.018,-0.88,1.0,,,,,
1.0,1,seeker,5,47511.39,99.98,12.9,12.4,-1180.974,-0.2,-0.7,0.7,12.9,12.4,-1176.495,1
