Time,ID,behv,N,comm_area,Area Coverage
134.7,2,seeker,2.0,2000.0,666.667
134.7,3,explorer,0.0,2000.0,2000.0
134.7,4,explorer,2.0,2000.0,666.667
134.7,5,explorer,0.0,2000.0,2000.0
134.7,Target,,,,
134.8,1,seeker,2.0,2000.0,666.667
134.8,2,seeker,2.0,2000.0,666.667
134.8,3,explorer,0.0,2000.0,2000.0
134.8,4,explorer,2.0,2000.0,666.667
134.8,5,explorer,0.0,2000.0,2000.0
134.8,Target,,,,
134.9,1,seeker,2.0,2000.0,666.667
134.9,2,seeker,2.0,2000.0,666.667
134.9,3,explorer,0.0,2000.0,2000.0
134.9,4,explorer,2.0,2000.0,666.667
134.9,5,explorer,0.0,2000.0,2000.0
134.9,Target,,,,
135.0,1,seeker,2.0,2000.0,666.667
135.0,2,seeker,2.0,2000.0,666.667
135.0,3,explorer,0.0,2000.0,2000.0
135.0,4,explorer,2.0,2000.0,666.667
135.0,5,explorer,0.0,2000.0,2000.0
135.0,Target,,,,
135.1,1,seeker,2.0,2000.0,666.667
135.1,2,seeker,2.0,2000.0,666.667
135.1,3,explorer,0.0,2000.0,2000.0
135.1,4,explorer,2.0,2000.0,666.667
135.1,5,explorer,0.0,2000.0,2000.0
135.1,Target,,,,
135.2,1,seeker,2.0,2000.0,666.667
135.2,2,seeker,2.0,2000.0,666.667
135.2,3,explorer,0.0,2000.0,2000.0
135.2,4,explorer,2.0,2000.0,666.667
135.2,5,explorer,0.0,2000.0,2000.0
135.2,Target,,,,
135.3,1,seeker,2.0,2000.0,666.667
135.3,2,seeker,2.0,2000.0,666.667
135.3,3,explorer,0.0,2000.0,2000.0
135.3,4,explorer,2.0,2000.0,666.667
135.3,5,explorer,0.0,2000.0,2000.0
135.3,Target,,,,
135.4,1,seeker,2.0,2000.0,666.667
135.4,2,seeker,2.0,2000.0,666.667
135.4,3,explorer,0.0,2000.0,2000.0
135.4,4,explorer,2.0,2000.0,666.667
135.4,5,explorer,0.0,2000.0,2000.0
135.4,Target,,,,
135.5,1,seeker,2.0,2000.0,666.667
135.5,2,seeker,2.0,2000.0,666.667
135.5,3,explorer,0.0,2000.0,2000.0
135.5,4,explorer,2.0,2000.0,666.667
135.5,5,explorer,0.0,2000.0,2000.0
135.5,Target,,,,
135.6,1,seeker,2.0,2000.0,666.667
135.6,2,seeker,2.0,2000.0,666.667
135.6,3,explorer,0.0,2000.0,2000.0
135.6,4,explorer,2.0,2000.0,666.667
135.6,5,explorer,0.0,2000.0,2000.0
135.6,Target,,,,
135.7,1,seeker,2.0,2000.0,666.667
135.7,2,seeker,2.0,2000.0,666.667
135.7,3,explorer,0.0,2000.0,2000.0
135.7,4,explorer,2.0,2000.0,666.667
135.7,5,explorer,0.0,2000.0,2000.0
135.7,Target,,,,
135.8,1,seeker,2.0,2000.0,666.667
135.8,2,seeker,2.0,2000.0,666.667
135.8,3,explorer,0.0,2000.0,2000.0
135.8,4,explorer,2.0,2000.0,666.667
135.8,5,explorer,0.0,2000.0,2000.0
135.8,Target,,,,
135.9,1,seeker,2.0,2000.0,666.667
135.9,2,seeker,2.0,2000.0,666.667
135.9,3,explorer,0.0,2000.0,2000.0
135.9,4,explorer,2.0,2000.0,666.667
135.9,5,explorer,0.0,2000.0,2000.0
135.9,Target,,,,
136.0,1,seeker,2.0,2000.0,666.667
136.0,2,seeker,2.0,2000.0,666.667
136.0,3,explorer,0.0,2000.0,2000.0
136.0,4,explorer,2.0,2000.0,666.667
136.0,5,explorer,0.0,2000.0,2000.0
136.0,Target,,,,
136.1,1,seeker,2.0,2000.0,666.667
136.1,2,seeker,2.0,2000.0,666.667
136.1,3,explorer,0.0,2000.0,2000.0
136.1,4,explorer,2.0,2000.0,666.667
136.1,5,explorer,0.0,2000.0,2000.0
136.1,Target,,,,
136.2,1,seeker,2.0,2000.0,666.667
136.2,2,seeker,2.0,2000.0,666.667
136.2,3,explorer,0.0,2000.0,2000.0
136.2,4,explorer,2.0,2000.0,666.667
136.2,5,explorer,0.0,2000.0,2000.0
136.2,Target,,,,
136.3,1,seeker,2.0,2000.0,666.667
136.3,2,seeker,2.0,2000.0,666.667
136.3,3,explorer,0.0,2000.0,2000.0
136.3,4,explorer,2.0,2000.0,666.667
136.3,5,explorer,0.0,2000.0,2000.0
136.3,Target,,,,
136.4,1,seeker,2.0,2000.0,666.667
136.4,2,seeker,2.0,2000.0,666.667
136.4,3,explorer,0.0,2000.0,2000.0
136.4,4,explorer,2.0,2000.0,666.667
136.4,5,explorer,0.0,2000.0,2000.0
136.4,Target,,,,
