Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.42,3,-0.6,-8.3,-0.3,0.4,-4.09,-17.92,-3.49,-9.62,10.233,0.004,0.256,-0.341,-0.94,-0.5474
0.42,4,19.5,-0.3,-0.5,0.2,-4.09,-17.92,-23.59,-17.62,29.444,0.004,0.736,-0.801,-0.598,0.5211502782931354
0.43,1,-3.0,-1.6,0.1,0.5,-4.1,-17.91,-1.1,-16.31,16.347,0.004,0.409,-0.067,-0.998,-0.9915686274509804
0.43,2,-18.3,-4.5,0.4,0.2,-4.1,-17.91,14.2,-13.41,19.531,0.004,0.488,0.727,-0.687,0.3431767337807606
0.43,3,-0.6,-8.3,-0.3,0.4,-4.1,-17.91,-3.5,-9.61,10.228,0.004,0.256,-0.342,-0.94,-0.5468
0.43,4,19.5,-0.3,-0.4,0.1,-4.1,-17.91,-23.6,-17.61,29.446,0.004,0.736,-0.801,-0.598,0.6325242718446602
0.44,1,-3.0,-1.6,-0.4,-0.8,-4.11,-17.91,-1.11,-16.31,16.348,0.004,0.409,-0.068,-0.998,0.923489932885906
0.44,2,-18.3,-4.5,0.2,0.3,-4.11,-17.91,14.19,-13.41,19.524,0.004,0.488,0.727,-0.687,-0.16814404432132965
0.44,3,-0.6,-8.3,-0.1,0.5,-4.11,-17.91,-3.51,-9.61,10.231,0.004,0.256,-0.343,-0.939,-0.8533333333333333
0.44,4,19.5,-0.3,-0.5,0.2,-4.11,-17.91,-23.61,-17.61,29.454,0.004,0.736,-0.802,-0.598,0.5220779220779221
