Time,ID,Ne,Area Coverage
3.2,19,1.0,157.08
3.2,20,1.0,157.08
3.2,21,5.0,52.36
3.2,22,3.0,78.54
3.2,23,2.0,104.72
3.2,24,4.0,62.832
3.3,5,0.0,314.159
3.3,6,1.0,157.08
3.3,7,5.0,52.36
3.3,8,4.0,62.832
3.3,9,4.0,62.832
3.3,10,2.0,104.72
3.3,11,2.0,104.72
3.3,12,2.0,104.72
3.3,13,5.0,52.36
3.3,14,5.0,52.36
3.3,15,5.0,52.36
3.3,16,0.0,314.159
3.3,17,1.0,157.08
3.3,18,2.0,104.72
3.3,19,1.0,157.08
3.3,20,1.0,157.08
3.3,21,5.0,52.36
3.3,22,3.0,78.54
3.3,23,2.0,104.72
3.3,24,4.0,62.832
3.4,5,0.0,314.159
3.4,6,1.0,157.08
3.4,7,5.0,52.36
3.4,8,4.0,62.832
3.4,9,4.0,62.832
3.4,10,2.0,104.72
3.4,11,2.0,104.72
3.4,12,2.0,104.72
3.4,13,5.0,52.36
3.4,14,4.0,62.832
3.4,15,4.0,62.832
3.4,16,0.0,314.159
3.4,17,1.0,157.08
3.4,18,2.0,104.72
3.4,19,1.0,157.08
3.4,20,1.0,157.08
3.4,21,5.0,52.36
3.4,22,3.0,78.54
3.4,23,2.0,104.72
3.4,24,4.0,62.832
3.5,5,0.0,314.159
3.5,6,1.0,157.08
3.5,7,5.0,52.36
3.5,8,4.0,62.832
3.5,9,4.0,62.832
3.5,10,2.0,104.72
3.5,11,2.0,104.72
3.5,12,2.0,104.72
3.5,13,5.0,52.36
3.5,14,4.0,62.832
3.5,15,5.0,52.36
3.5,16,0.0,314.159
3.5,17,1.0,157.08
3.5,18,2.0,104.72
3.5,19,1.0,157.08
3.5,20,1.0,157.08
3.5,21,5.0,52.36
3.5,22,3.0,78.54
3.5,23,2.0,104.72
3.5,24,4.0,62.832
3.6,5,0.0,314.159
3.6,6,1.0,157.08
3.6,7,5.0,52.36
3.6,8,4.0,62.832
3.6,9,4.0,62.832
3.6,10,2.0,104.72
3.6,11,2.0,104.72
3.6,12,2.0,104.72
3.6,13,5.0,52.36
3.6,14,5.0,52.36
3.6,15,5.0,52.36
3.6,16,0.0,314.159
3.6,17,1.0,157.08
3.6,18,2.0,104.72
3.6,19,1.0,157.08
3.6,20,1.0,157.08
3.6,21,4.0,62.832
3.6,22,3.0,78.54
3.6,23,2.0,104.72
3.6,24,4.0,62.832
3.7,5,0.0,314.159
3.7,6,1.0,157.08
3.7,7,5.0,52.36
3.7,8,4.0,62.832
3.7,9,4.0,62.832
3.7,10,2.0,104.72
3.7,11,2.0,104.72
3.7,12,2.0,104.72
3.7,13,5.0,52.36
3.7,14,4.0,62.832
3.7,15,5.0,52.36
3.7,16,0.0,314.159
3.7,17,1.0,157.08
3.7,18,2.0,104.72
3.7,19,1.0,157.08
3.7,20,1.0,157.08
3.7,21,5.0,52.36
3.7,22,3.0,78.54
3.7,23,2.0,104.72
3.7,24,4.0,62.832
3.8,5,0.0,314.159
3.8,6,1.0,157.08
3.8,7,5.0,52.36
3.8,8,4.0,62.832
3.8,9,4.0,62.832
3.8,10,2.0,104.72
3.8,11,2.0,104.72
3.8,12,2.0,104.72
3.8,13,5.0,52.36
3.8,14,4.0,62.832
3.8,15,4.0,62.832
3.8,16,0.0,314.159
3.8,17,1.0,157.08
3.8,18,2.0,104.72
3.8,19,1.0,157.08
3.8,20,1.0,157.08
3.8,21,5.0,52.36
3.8,22,3.0,78.54
3.8,23,2.0,104.72
3.8,24,4.0,62.832
3.9,5,0.0,314.159
3.9,6,1.0,157.08
3.9,7,5.0,52.36
3.9,8,4.0,62.832
3.9,9,4.0,62.832
3.9,10,2.0,104.72
3.9,11,2.0,104.72
3.9,12,2.0,104.72
3.9,13,5.0,52.36
3.9,14,4.0,62.832
3.9,15,4.0,62.832
3.9,16,0.0,314.159
3.9,17,1.0,157.08
3.9,18,2.0,104.72
3.9,19,1.0,157.08
3.9,20,1.0,157.08
3.9,21,5.0,52.36
3.9,22,3.0,78.54
3.9,23,2.0,104.72
3.9,24,4.0,62.832
4.0,5,0.0,314.159
4.0,6,1.0,157.08
4.0,7,5.0,52.36
4.0,8,4.0,62.832
4.0,9,4.0,62.832
4.0,10,2.0,104.72
4.0,11,2.0,104.72
4.0,12,2.0,104.72
4.0,13,5.0,52.36
4.0,14,4.0,62.832
4.0,15,3.0,78.54
4.0,16,0.0,314.159
4.0,17,1.0,157.08
4.0,18,2.0,104.72
4.0,19,1.0,157.08
4.0,20,1.0,157.08
4.0,21,4.0,62.832
4.0,22,3.0,78.54
4.0,23,2.0,104.72
4.0,24,4.0,62.832
4.1,5,0.0,314.159
4.1,6,1.0,157.08
4.1,7,5.0,52.36
4.1,8,4.0,62.832
4.1,9,4.0,62.832
4.1,10,2.0,104.72
4.1,11,2.0,104.72
4.1,12,2.0,104.72
4.1,13,5.0,52.36
4.1,14,4.0,62.832
4.1,15,3.0,78.54
4.1,16,0.0,314.159
4.1,17,1.0,157.08
4.1,18,2.0,104.72
4.1,19,1.0,157.08
4.1,20,1.0,157.08
4.1,21,5.0,52.36
4.1,22,3.0,78.54
4.1,23,2.0,104.72
4.1,24,4.0,62.832
4.2,5,0.0,314.159
4.2,6,1.0,157.08
4.2,7,5.0,52.36
4.2,8,4.0,62.832
4.2,9,4.0,62.832
4.2,10,2.0,104.72
4.2,11,2.0,104.72
4.2,12,2.0,104.72
4.2,13,5.0,52.36
4.2,14,4.0,62.832
4.2,15,3.0,78.54
4.2,16,0.0,314.159
4.2,17,1.0,157.08
4.2,18,2.0,104.72
4.2,19,1.0,157.08
4.2,20,1.0,157.08
4.2,21,4.0,62.832
4.2,22,3.0,78.54
4.2,23,2.0,104.72
4.2,24,4.0,62.832
4.3,5,0.0,314.159
4.3,6,1.0,157.08
4.3,7,5.0,52.36
4.3,8,4.0,62.832
4.3,9,4.0,62.832
4.3,10,2.0,104.72
4.3,11,2.0,104.72
4.3,12,2.0,104.72
4.3,13,5.0,52.36
4.3,14,4.0,62.832
4.3,15,3.0,78.54
4.3,16,0.0,314.159
4.3,17,1.0,157.08
4.3,18,2.0,104.72
4.3,19,1.0,157.08
4.3,20,1.0,157.08
4.3,21,4.0,62.832
4.3,22,3.0,78.54
4.3,23,2.0,104.72
4.3,24,4.0,62.832
4.4,5,0.0,314.159
4.4,6,1.0,157.08
4.4,7,5.0,52.36
4.4,8,4.0,62.832
4.4,9,4.0,62.832
4.4,10,2.0,104.72
4.4,11,2.0,104.72
4.4,12,2.0,104.72
4.4,13,5.0,52.36
4.4,14,4.0,62.832
4.4,15,3.0,78.54
4.4,16,0.0,314.159
4.4,17,1.0,157.08
4.4,18,2.0,104.72
4.4,19,1.0,157.08
4.4,20,1.0,157.08
4.4,21,4.0,62.832
4.4,22,3.0,78.54
4.4,23,2.0,104.72
4.4,24,4.0,62.832
4.5,5,0.0,314.159
4.5,6,1.0,157.08
4.5,7,5.0,52.36
4.5,8,4.0,62.832
4.5,9,4.0,62.832
4.5,10,2.0,104.72
4.5,11,2.0,104.72
4.5,12,2.0,104.72
